1.435 35.3636 0.443954
1.44  35.3636 0.443954
1.45 19.2272 -3.14483
1.5 10.3566 -3.52221
1.525 10.3566 -3.52221
1.55 8.30692 -4.0512
1.575 8.30692 -4.0512
1.6 8.26426 -4.53111
1.625 9.39549 -4.23039
1.65 9.39549 -4.23039
1.675 10.4336 -3.65046
1.7 11.0594 -2.06806
1.75 10.4866 1.09322
1.8 8.38358 3.30778
1.85 5.804 4.20414
1.9 3.24442 3.9901
1.95 0.957838 2.51269
2 0.168795 -0.480514
2.05 2.32157 -2.63491
2.1 4.44767 -1.94504
2.2 4.78858 0.260116
2.3 4.00946 1.10984
2.4 3.32141 1.38757
2.5 2.79058 1.45425
